Runs, Total configs., Total Defective configs., Real Prob. Defect. configs., Percentage, Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Error
30, 26256, 9376, 0.3571, 0.0221, 580, 207.0, 205.9, 7.649, 0.3569, 0.0002
30, 26256, 9376, 0.3571, 0.0225, 590, 208.0, 207.9, 11.7249, 0.3525, 0.0046
30, 26256, 9376, 0.3571, 0.0229, 600, 212.5, 212.6, 10.1696, 0.3542, 0.0029
30, 26256, 9376, 0.3571, 0.0232, 610, 216.5, 218.9333, 13.8687, 0.3549, 0.0022
30, 26256, 9376, 0.3571, 0.0236, 620, 227.0, 224.2667, 15.3172, 0.3661, 0.009
30, 26256, 9376, 0.3571, 0.024, 630, 226.0, 225.6, 11.921, 0.3587, 0.0016
30, 26256, 9376, 0.3571, 0.0244, 640, 226.5, 226.7667, 10.5232, 0.3539, 0.0032
30, 26256, 9376, 0.3571, 0.0248, 650, 237.5, 238.1, 15.162, 0.3654, 0.0083
30, 26256, 9376, 0.3571, 0.0251, 660, 233.0, 234.4, 9.0729, 0.353, 0.0041
30, 26256, 9376, 0.3571, 0.0255, 670, 238.0, 239.2667, 13.3001, 0.3552, 0.0019
30, 26256, 9376, 0.3571, 0.0259, 680, 237.0, 239.3333, 9.4735, 0.3485, 0.0086
30, 26256, 9376, 0.3571, 0.0263, 690, 247.0, 247.4, 11.9787, 0.358, 0.0009
30, 26256, 9376, 0.3571, 0.0267, 700, 248.5, 247.3667, 13.0291, 0.355, 0.0021
30, 26256, 9376, 0.3571, 0.027, 710, 252.0, 251.0667, 12.5614, 0.3549, 0.0022
