Variation points, Variation point, Configurations, Defective configs., Real prob. defect. configs., Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Combinations, Variant combination, NofFeatures, Configs. combi., Ratio, Defect. configs. combi., Prob. defect. configs. combi., Simulations, Runs, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs.
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets']", 3, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.3333, 0.5467, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass']", 3, 220, 0.0084, 41, 0.1864, 3, 30, 1.0, 0.7333, 0.7397, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'ClusteredSession']", 3, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4667, 0.6288, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'InternationalizationSupport']", 3, 220, 0.0084, 42, 0.1909, 3, 30, 0.0, 0.5333, 0.7303, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Docker']", 3, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.8333, 0.7466, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Libsass', 'ClusteredSession']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Libsass', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Libsass', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'ClusteredSession', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
